species	n	intra_avg	intra_max	kurodai	sp.OR	sp.BF	sp.KZ	sp.BW	sp.OM	sp.CB	sp.BB	sp.MO	sp.CO	sp.TO	sp.DL	sp.YB	brunneus	flumineus	fluviatilis	nagoyae	similis	ogasawaraensis	leavelli	virgigena
kurodai	3	0.30	0.45	0.30	0.31	0.30	0.42	0.30	0.42	2.34	0.35	0.60	1.21	1.51	1.27	0.98	1.23	1.18	1.32	2.40	4.88	1.10	2.19	2.91
sp.OR	10	0.34	0.68	0.31	0.34	0.32	0.35	0.32	0.43	2.36	0.36	0.62	1.22	1.52	1.28	1.01	1.24	1.18	1.34	2.41	4.92	1.11	2.22	2.93
sp.BF	3	0.23	0.34	0.30	0.32	0.23	0.45	0.23	0.34	2.27	0.27	0.53	1.13	1.44	1.19	0.93	1.15	1.10	1.25	2.32	4.76	1.02	2.15	2.83
sp.KZ	2	0.00	0.00	0.42	0.35	0.45	0.00	0.45	0.57	2.49	0.50	0.76	1.36	1.66	1.42	1.16	1.38	1.33	1.47	2.55	5.06	1.25	2.38	3.06
sp.BW	2	0.00	0.00	0.30	0.32	0.23	0.45	0.00	0.34	2.27	0.27	0.45	1.13	1.44	1.19	0.93	1.15	1.10	1.25	2.32	4.84	1.02	2.15	2.83
sp.OM	1	NA	NA	0.42	0.43	0.34	0.57	0.34	NA	2.38	0.36	0.64	1.25	1.55	1.30	1.04	1.27	1.21	1.36	2.44	4.95	1.13	2.27	2.95
sp.CB	1	NA	NA	2.34	2.36	2.27	2.49	2.27	2.38	NA	2.31	2.57	1.93	2.68	2.44	2.18	2.40	1.90	2.49	0.65	5.97	2.27	3.40	3.85
sp.BB	5	0.09	0.23	0.35	0.36	0.27	0.50	0.27	0.36	2.31	0.09	0.46	1.18	1.48	1.01	0.75	0.97	1.15	1.07	2.37	4.88	0.84	2.20	2.65
sp.MO	3	0.23	0.34	0.60	0.62	0.53	0.76	0.45	0.64	2.57	0.46	0.23	1.44	1.74	1.38	1.12	1.34	1.40	1.44	2.63	5.14	1.21	2.46	3.02
sp.CO	3	0.00	0.00	1.21	1.22	1.13	1.36	1.13	1.25	1.93	1.18	1.44	0.00	1.44	1.19	0.93	1.11	1.05	1.25	1.98	4.61	1.02	2.15	2.61
sp.TO	3	0.38	0.57	1.51	1.52	1.44	1.66	1.44	1.55	2.68	1.48	1.74	1.44	0.38	1.72	1.46	1.68	1.16	1.78	2.74	5.22	1.55	2.68	3.33
sp.DL	2	0.11	0.11	1.27	1.28	1.19	1.42	1.19	1.30	2.44	1.01	1.38	1.19	1.72	0.11	0.76	0.96	1.37	0.67	2.49	4.67	0.40	2.32	2.89
sp.YB	5	0.25	0.45	0.98	1.01	0.93	1.16	0.93	1.04	2.18	0.75	1.12	0.93	1.46	0.76	0.25	0.61	1.11	0.82	2.23	4.86	0.59	2.04	2.63
brunneus	11	0.73	1.47	1.23	1.24	1.15	1.38	1.15	1.27	2.40	0.97	1.34	1.11	1.68	0.96	0.61	0.73	1.31	0.99	2.46	5.07	0.78	2.35	2.86
flumineus	7	0.85	2.38	1.18	1.18	1.10	1.33	1.10	1.21	1.90	1.15	1.40	1.05	1.16	1.37	1.11	1.31	0.85	1.37	1.98	5.10	1.20	2.27	2.96
fluviatilis	5	0.37	0.57	1.32	1.34	1.25	1.47	1.25	1.36	2.49	1.07	1.44	1.25	1.78	0.67	0.82	0.99	1.37	0.37	2.55	4.75	0.27	2.40	2.95
nagoyae	8	0.76	1.36	2.40	2.41	2.32	2.55	2.32	2.44	0.65	2.37	2.63	1.98	2.74	2.49	2.23	2.46	1.98	2.55	0.76	5.99	2.32	3.46	3.88
similis	3	0.91	1.36	4.88	4.92	4.76	5.06	4.84	4.95	5.97	4.88	5.14	4.61	5.22	4.67	4.86	5.07	5.10	4.75	5.99	0.91	4.61	5.86	5.67
ogasawaraensis	3	0.00	0.00	1.10	1.11	1.02	1.25	1.02	1.13	2.27	0.84	1.21	1.02	1.55	0.40	0.59	0.78	1.20	0.27	2.32	4.61	0.00	2.15	2.72
leavelli	1	NA	NA	2.19	2.22	2.15	2.38	2.15	2.27	3.40	2.20	2.46	2.15	2.68	2.32	2.04	2.35	2.27	2.40	3.46	5.86	2.15	NA	3.51
virgigena	1	NA	NA	2.91	2.93	2.83	3.06	2.83	2.95	3.85	2.65	3.02	2.61	3.33	2.89	2.63	2.86	2.96	2.95	3.88	5.67	2.72	3.51	NA
